Category,Plot Name,Points,
Common ,Bar Chart,1,
Common ,Waffle plot,1,
Common ,Donought,1,
Common ,Pie Chart,1,
Common ,Line Chart,1,
Common ,Scatter Plot,1,
Common ,Histogram,1,
Common ,Box Plot ,1,(or Whisker Plot or Vase Plot)
Common ,Area Chart,1,
Common ,Wiggle,1,
Common ,Rose plot,1,
Common ,Dot Plot,1,
Common ,Quiver,1,/ vector/arrow
Common ,Streamline,1,/ Spaghetti/fllowline
Common ,Flow chart,1,
Common ,Variable area,1,
Common ,Lollipop chart,1,
Unusual,Heatmap,2,
Unusual,Bubble Chart,2,
Unusual,Waterfall Chart,2,
Unusual,Radar Chart (or Spider Chart),2,
Unusual,Timeline,2,
Unusual,Word Cloud,2,
Unusual,Sankey Diagram,2,
Unusual,Gantt Chart,2,
Unusual,Step Plot,2,
Unusual,Ternary Plot,2,
Unusual,Dendrogram,2,
Unusual,Venn diagram,2,
Unusual,Treemap,2,
Unusual,Spark lines,2,
Unusual,Bean plot,2,
Unusual,Chord Diagram,2,
Rare,Strip plot,3,
Rare,Violin Plot,3,
Rare,Density Plot,3,
Rare,Rug Plot,3,
Rare,Carpet plot,3,
Rare,Bee swarm,3,
Rare,Sunburst Chart,3,
Rare,Parallel Coordinates Plot,3,
Rare,Ridgeline Plot,3,
Rare,Chord Diagram,3,
Rare,Sankey Diagram,3,
Rare,Hexbin Plot,3,
Rare,Network Graph,3,
Rare,Dendrogram,3,
Rare,Spiral Chart,3,
Rare,Ternary Plot,3,
Rare,Choropleth Map,3,
Rare,Cartogram,3,
