,MMSI,Type,Length,timeOfClosestApproach,distOfClosestApproach,locationOfClosestApproach,eastingOfClosestApproach,northingOfClosestApproach,cableDepthAtClosestApproach,longitudeOfClosestApproach,latitudeOfClosestApproach,Cable,datetime
0,244149000,Cargo,156.0,2021-11-03 23:35:18,44.19598527943251,20411,382875.96526605845,5001160.531775917,-369.21,-124.48980397236616,45.154185906735755,South,20211103_233518
1,244149000,Cargo,156.0,2021-11-03 23:56:33,42.971314778318664,19893,384486.88510286633,5011164.618689025,-408.39049,-124.47180325273462,45.24448556131261,North,20211103_235633
2,255613000,Cargo,180.0,2021-11-03 01:25:02,15.297254321540315,24313,375007.7048782135,5000758.953105453,-363.95,-124.59002260869565,45.14923956521739,South,20211103_012502
3,255613000,Cargo,180.0,2021-11-03 01:57:32,8.44339618406704,22929,378565.30605695065,5012996.83920197,-442.68753,-124.5477671830986,45.2599809859155,North,20211103_015732
4,257842000,Cargo,204.0,2021-11-06 01:41:16,43.02252472388771,23869,375892.8085760718,5000646.092832581,-350.34,-124.57873849909585,45.14838011452682,South,20211106_014116
5,257842000,Cargo,204.0,2021-11-06 01:04:46,27.661116689477623,24840,374859.3059433181,5014217.491203532,-464.69127,-124.59529225352112,45.27031464788733,North,20211106_010446
6,259976000,Cargo,199.0,2021-11-06 09:11:21,30.797996088435987,20342,383027.8686246078,5001112.22273219,-370.46,-124.48811681818182,45.15379318181818,South,20211106_091121
7,259976000,Cargo,199.0,2021-11-06 09:31:51,43.68582773259645,19816,384637.3303638642,5011117.4474986,-407.90529,-124.46996459363957,45.24409159010601,North,20211106_093151
8,308717000,Cargo,224.0,2021-11-04 22:40:16,30.621006114754806,21646,380415.0867439447,5000632.1719388105,-346.47,-124.52123,45.14903555555556,South,20211104_224016
9,308717000,Cargo,224.0,2021-11-04 23:11:46,4.357055931489473,20928,382459.9365526042,5011760.625674438,-422.46919,-124.49785227272727,45.24951881818182,North,20211104_231146
10,338603000,Fishing,24.0,2021-11-02 11:59:16,19.815670679296144,5454,413170.33389841433,5004049.730872777,-86.44,-124.10524022900763,45.18458335877863,South,20211102_115916
11,338603000,Fishing,24.0,2021-11-02 11:53:46,15.364139788364131,5384,413198.94364501786,5005400.719968188,-86.899796,-124.10511142857142,45.19674571428571,North,20211102_115346
12,352927000,Cargo,200.0,2021-11-04 02:08:17,17.847234642797066,28241,367697.44640680583,5003836.495164539,-541.43,-124.68379269662921,45.17559831460674,South,20211104_020817
13,352927000,Cargo,200.0,2021-11-04 02:38:32,21.711981228662037,26544,371555.4072370545,5015278.3402636945,-496.04507,-124.6376678,45.279264,North,20211104_023832
14,354739000,Cargo,180.0,2021-11-05 14:24:02,10.244620278920161,45517,335552.1272449254,5001775.952012005,-1551.49,-125.09210856790631,45.150289182932674,South,20211105_142402
15,357772000,Cargo,181.0,2021-11-04 10:35:10,10.076686557836268,21443,380817.0736008098,5000726.962161868,-347.67,-124.51614075757576,45.149956515151516,South,20211104_103510
16,357772000,Cargo,181.0,2021-11-04 11:00:40,1.8581685823923173,20097,384078.7747562281,5011250.925290222,-408.86372,-124.4771109090909,45.24520090909091,North,20211104_110040
17,366047000,Fishing,87.0,2021-11-05 00:47:25,5.123893851939505,31789,361006.5507395382,5005696.8656123085,-624.34,-124.76942550561797,45.191049775280895,South,20211105_004725
18,366047000,Fishing,87.0,2021-11-05 10:20:40,1.7066425005929953,25065,374411.7111152804,5014333.193857499,-469.02324,-124.60102522727273,45.27127590909091,North,20211105_102040
19,366396000,Passenger,45.0,2021-11-02 00:49:21,5.247569638291875,20386,382936.3613129628,5001121.390243538,-369.47,-124.4892827,45.1538605,South,20211102_004921
20,366396000,Passenger,45.0,2021-11-02 00:17:51,12.09954794269085,19104,386004.6648479315,5010623.223334642,-407.81014,-124.45243429065745,45.23986712802768,North,20211102_001751
21,366425240,Fishing,23.0,2021-11-02 13:44:59,1.4288262904393296,25539,372581.0874095806,5001358.604152233,-427.1,-124.62103225352112,45.1542014084507,South,20211102_134459
22,366425240,Fishing,23.0,2021-11-02 00:09:29,3.045830603067264,13243,397581.9150652505,5007637.510664384,-198.4372,-124.30435258064516,45.21477849462366,North,20211102_000929
23,366738920,Fishing,21.0,2021-11-03 13:04:18,27.713104162758473,9889,404167.9219411221,5003251.342654536,-157.62,-124.21965215189874,45.17623189873418,South,20211103_130418
24,366738920,Fishing,21.0,2021-11-03 13:12:48,6.428043700956421,9718,404371.1339712665,5005282.45647484,-157.86177,-124.21745608695652,45.19453869565218,North,20211103_131248
25,366959080,Fishing,20.0,2021-11-01 15:19:00,0.4665643792497254,14517,394752.74883797334,5002834.23041767,-271.83,-124.33936589939024,45.17112031504065,South,20211101_151900
26,366959080,Fishing,20.0,2021-11-01 21:40:00,240.47538369820418,15595,392840.7307446868,5008495.724515794,-356.61373,-124.36490226886717,45.2217961047909,North,20211101_214000
27,367133160,Towing,37.0,2021-11-05 07:46:26,14.756543233117027,12451,398960.52431075904,5002975.572444867,-188.45,-124.28583218902016,45.1730215218902,South,20211105_074626
28,367133160,Towing,37.0,2021-11-05 08:04:11,15.719231124684002,12367,399279.0754857191,5007079.291293471,-186.48085,-124.28263081967214,45.20999967213115,North,20211105_080411
29,367162190,Fishing,26.0,2021-11-02 08:11:45,8.415492417988524,13451,396921.138906381,5002945.047195448,-206.93,-124.31179505494505,45.172453406593405,South,20211102_081145
30,367162190,Fishing,26.0,2021-11-02 07:53:00,15.095531655744193,13114,397833.28046924697,5007556.221470218,-196.44221,-124.30113528023598,45.21408345132743,North,20211102_075300
31,367171000,Fishing,27.0,2021-11-02 12:48:51,1.9139525236834452,27050,369766.4884853975,5002570.983797714,-534.17,-124.65714116182572,45.16459651452282,South,20211102_124851
32,367171000,Fishing,27.0,2021-11-02 11:48:21,16.41310333824074,26791,371056.3510252902,5015370.585410344,-494.72566,-124.64405217391304,45.28000260869565,North,20211102_114821
33,367426420,Fishing,24.0,2021-11-01 01:32:48,14.841142132365746,4782,414526.1932897952,5004232.552710683,-77.45,-124.08791452598706,45.18638617220611,South,20211101_013248
34,367426420,Fishing,24.0,2021-11-01 01:28:48,6.879847831479971,4693,414608.43612869346,5005396.718871466,-75.964731,-124.08706919919696,45.1968737921035,North,20211101_012848
35,367553420,Fishing,25.0,2021-11-02 10:34:08,8350.776514244702,28800,363525.4714870019,5022087.499945933,-484.61179,-124.74187946531791,45.33901429190751,North,20211102_103408
36,367709050,Fishing,37.0,2021-11-02 07:29:42,25.69652367470263,23468,376709.7473164773,5000610.647819662,-345.46,-124.56790551348921,45.14815841276978,South,20211102_072942
37,367709050,Fishing,37.0,2021-11-02 20:33:27,6.802692390075386,21126,382077.2144856321,5011894.173349351,-422.88574,-124.5026548937143,45.25064570285714,North,20211102_203327
38,368038000,Fishing,83.0,2021-11-04 05:17:46,0.9642879848959283,25717,372229.5516999178,5001445.706920244,-440.84,-124.6254290705621,45.15483601742696,South,20211104_051746
39,368038000,Fishing,83.0,2021-11-05 16:49:01,0.7379820585442168,21561,381228.1360659676,5012157.489345653,-426.99047,-124.51377129953765,45.252801811867016,North,20211105_164901
40,368049580,Towing,32.0,2021-11-01 07:18:25,25.762288752389125,5934,412198.5832570171,5003921.124452279,-93.92,-124.11737595683357,45.18329126952209,South,20211101_071825
41,368049580,Towing,32.0,2021-11-01 07:12:40,21.243273055876628,5765,412423.7430596947,5005351.552678075,-91.449932,-124.1147732522287,45.196193793149675,North,20211101_071240
42,368206000,Fishing,28.0,2021-11-03 04:40:34,7.431035927532274,9058,405859.3670782946,5003362.31401118,-139.6,-124.19815088888889,45.17745844444445,South,20211103_044034
43,368206000,Fishing,28.0,2021-11-03 04:33:34,20.471939592177517,8958,405914.1435411306,5005091.37666569,-141.02591,-124.1977802173913,45.19302673913043,North,20211103_043334
44,368293000,Fishing,114.0,2021-11-03 09:21:59,0.8336264057623647,34591,356439.11835132673,5002415.370215946,-685.55,-124.82647347483554,45.16060099527184,South,20211103_092159
45,368293000,Fishing,114.0,2021-11-03 15:20:59,5391.241418915116,31517,357202.75347858656,5011809.211949512,-589.13567,-124.81946807796024,45.2452739601069,North,20211103_152059
46,369493006,"Other Type, all ships of this type",14.0,2021-11-02 08:45:34,6208.882319436541,27750,368156.97229068173,5021413.122320848,-507.90625,-124.68261205461638,45.333832639791936,North,20211102_084534
47,369499000,"Other Type, all ships of this type",210.0,2021-11-02 03:01:01,10.040673826818699,33182,358489.22610578546,5004420.96100627,-632.62,-124.80109005176877,45.17906892148404,South,20211102_030101
48,369499000,"Other Type, all ships of this type",210.0,2021-11-02 02:40:46,1552.3006997686068,31517,361155.4690187949,5011996.540192596,-589.13567,-124.7692859106933,45.24775878965923,North,20211102_024046
49,369604000,Fishing,82.0,2021-11-01 14:23:08,27.90464783700544,29783,364987.43488559255,5005389.066396847,-554.5,-124.71873769114764,45.18905001206455,South,20211101_142308
50,369604000,Fishing,82.0,2021-11-01 14:42:53,39.272576198210054,30160,364742.8363312554,5013098.832804649,-528.90224,-124.72392195445634,45.25837367365405,North,20211101_144253
51,477852900,Cargo,179.0,2021-11-01 22:02:56,24.831954396852534,39790,346890.1154051967,4999672.553221769,-835.84,-124.94718403076924,45.13392741538462,South,20211101_220256
52,477852900,Cargo,179.0,2021-11-01 22:55:56,9977.995607106497,31517,353241.7812958737,5014896.6097822385,-589.13567,-124.8709362,45.2722438,North,20211101_225556
53,538007026,Cargo,0.0,2021-11-01 07:56:40,15.861642627687457,8244,407514.4081712234,5003467.487903656,-128.97,-124.17711075,45.178624,South,20211101_075640
54,538007026,Cargo,0.0,2021-11-01 07:52:10,17.30756973368772,8031,407801.01565988443,5005134.142942983,-126.9447,-124.173772,45.193661,North,20211101_075210
55,538007658,Cargo,180.0,2021-11-01 07:55:48,31.740828359509482,22327,379034.9930737188,5000565.49413901,-334.26,-124.5387636,45.14820040000001,South,20211101_075548
56,538007658,Cargo,180.0,2021-11-01 08:26:33,31.949069638597276,21433,381467.9288223644,5012047.500539671,-426.92405,-124.51055782608695,45.25193376811594,North,20211101_082633
57,538007681,Cargo,262.0,2021-11-02 07:35:34,5.119048282777674,14490,394808.28137231356,5002834.635255276,-269.22,-124.3386531,45.17114780000001,South,20211102_073534
58,538007681,Cargo,262.0,2021-11-02 07:49:49,29.0672236248014,14696,394692.2099555103,5008308.477828909,-255.38389,-124.34128661971832,45.22039042253521,North,20211102_074949
59,538008032,Cargo,190.0,2021-11-05 16:41:09,27.57229878089615,22444,378795.4065596707,5000511.449787157,-333.41,-124.5417970212766,45.1476729787234,South,20211105_164109
60,538008032,Cargo,190.0,2021-11-05 16:06:24,25.71906237827755,21007,382300.06567903457,5011788.928803664,-422.09761,-124.49989555555555,45.24974676767677,North,20211105_160624
